# Инициализация MPU6050...
# MPU6050 OK
# Держите неподвижно. Калибровка гиро... 5 сек
# Держите неподвижно... 4 сек
# Держите неподвижно... 3 сек
# Держите неподвижно... 2 сек
# Держите неподвижно... 1 сек
# Держите неподвижно... 0 сек
# Калибровка гиро завершена.
# DMP готов. Начинайте движение.
# Ожидание фиксации ГНСС...
time_ms,lat,lon,alt_m,speed_mps,sats,fix,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,nan,nan,nan
14240,55.590812,37.672637,167.500000,0.000000,6,1,-0.133161,0.587944,-5.300848,-0.519084,-0.335878,-0.198473,-3.582404,4.766667,4.455409,-137.0095,-4.2790,86.6932
14340,55.590812,37.672637,167.500000,0.000000,6,1,-0.177733,0.493238,-5.180807,-0.343511,-0.404580,0.061069,-3.488526,4.704100,4.568843,-136.5050,-4.2732,86.6588
14440,55.590812,37.672637,167.500000,0.000000,6,1,-0.178937,0.578414,-5.303202,-0.435115,-0.007634,-0.030534,-3.369121,4.740920,4.538077,-136.0081,-4.3021,86.6035
14540,55.590812,37.672637,167.500000,0.000000,6,1,-0.154845,0.575436,-5.281429,-0.358779,-0.030534,-0.167939,-3.290002,4.787218,4.543816,-135.5044,-4.3384,86.5595
14640,55.590812,37.672637,167.500000,0.000000,6,1,-0.117501,0.617725,-5.327916,-0.885496,-0.091603,-0.038168,-3.145258,4.812277,4.623372,-135.0529,-4.3610,86.5102
14740,55.590812,37.672637,167.500000,0.000000,6,1,-0.165084,0.528381,-5.276721,-1.022901,-0.198473,0.129771,-3.185883,4.780563,4.686678,-134.6148,-4.3637,86.4565
14840,55.590812,37.672637,167.500000,0.000000,6,1,-0.147014,0.561736,-5.335566,-0.625954,0.160305,0.198473,-3.156173,4.801004,4.707224,-134.1347,-4.3861,86.3722
14940,55.590812,37.672637,167.500000,0.000000,6,1,-0.183756,0.511703,-5.287313,-0.419847,0.099237,0.251908,-3.153664,4.782052,4.783370,-133.6340,-4.3998,86.2884
15040,55.590812,37.672637,167.500000,0.000000,6,1,-0.184358,0.551610,-5.169627,-0.931298,-0.267176,0.091603,-3.175581,4.714141,4.823930,-133.1873,-4.3992,86.2422
15140,55.590812,37.672637,167.500000,0.000000,6,1,-0.166891,0.594496,-5.366753,-0.732824,0.053435,-0.038168,-3.219585,4.760422,4.911495,-132.7196,-4.4296,86.1814
15240,55.590812,37.672637,167.500000,0.000000,6,1,-0.168698,0.573649,-5.211406,-0.076336,-0.022901,-0.068702,-3.146834,4.752495,4.978575,-132.1868,-4.4566,86.1281
15340,55.590812,37.672637,167.500000,0.000000,6,1,-0.157856,0.537911,-5.194341,-0.938931,-0.580153,-0.137405,-3.219484,4.986264,5.214420,-131.7438,-4.4510,86.1206
15440,55.590805,37.672653,169.399993,0.000000,8,1,-0.173517,0.473583,-5.302024,-0.488550,-0.167939,-0.221374,-3.316824,4.998012,5.233136,-131.2538,-4.4789,86.0879
15555,55.590805,37.672653,169.399993,0.000000,8,1,-0.118103,0.621895,-5.207286,-1.038168,-0.358779,0.160305,-3.114413,5.115974,5.250506,-130.7526,-4.4631,86.0377
15655,55.590805,37.672653,169.399993,0.000000,8,1,-0.098226,0.517659,-5.259069,-0.427481,-0.244275,0.221374,-3.268445,5.202538,5.351550,-130.2546,-4.4518,85.9814
15755,55.590805,37.672653,169.399993,0.000000,8,1,-0.160868,0.490856,-5.257303,-0.580153,0.099237,-0.091603,-3.310333,5.163587,5.393696,-129.7715,-4.4861,85.9190
15855,55.590805,37.672653,169.399993,0.000000,8,1,-0.118103,0.646911,-5.303790,-0.496183,-0.076336,-0.183206,-3.222090,5.182732,5.460856,-129.2814,-4.5157,85.8758
15955,55.590805,37.672653,169.399993,0.000000,8,1,-0.142798,0.597474,-5.168449,-0.458015,-0.412214,-0.091603,-3.142986,5.139629,5.540329,-128.7891,-4.5168,85.8527
16055,55.590805,37.672653,169.399993,0.000000,8,1,-0.144605,0.558162,-5.232589,-0.435115,-0.343511,-0.083969,-3.203292,5.130783,5.619968,-128.2941,-4.5213,85.8237
16155,55.590805,37.672653,169.399993,0.000000,8,1,-0.127138,0.626064,-5.309085,-0.427481,-0.053435,-0.114504,-3.124312,5.155572,5.631837,-127.7966,-4.5458,85.7736
16256,55.590805,37.672653,169.399993,0.000000,8,1,-0.169300,0.511703,-5.250242,-0.503817,-0.160305,0.091603,-3.182996,5.147656,5.746324,-127.3015,-4.5470,85.7187
16356,55.590805,37.672653,169.399993,0.000000,8,1,-0.082566,0.645124,-5.303790,-0.702290,-0.152672,-0.183206,-3.059665,5.192024,5.785066,-126.8323,-4.5702,85.6804
16456,55.590805,37.672653,169.399993,0.000000,8,1,-0.084373,0.631425,-5.213759,-0.801527,-0.114504,-0.412214,-3.107311,5.267512,5.901761,-126.3740,-4.6137,85.6524
16556,55.590805,37.672653,169.399993,0.000000,8,1,-0.160868,0.566501,-5.364987,-0.893130,-0.305344,-0.259542,-3.226817,5.415984,6.221965,-125.9252,-4.6334,85.6306
16656,55.590805,37.672653,169.399993,0.000000,8,1,-0.117501,0.496217,-5.154915,-0.183206,-0.213740,0.290076,-3.135516,5.357190,6.279393,-125.4023,-4.6137,85.5690
16756,55.590805,37.672653,169.399993,0.000000,8,1,-0.090396,0.680862,-5.337330,-1.015267,-0.175573,-0.511450,-3.173227,5.407130,6.479712,-124.9661,-4.6611,85.5507
16856,55.590805,37.672653,169.399993,0.000000,8,1,-0.148821,0.529572,-5.290844,-0.251908,0.129771,-0.053435,-3.161745,5.330041,6.503488,-124.4493,-4.6881,85.4807
16956,55.590805,37.672653,169.399993,0.000000,8,1,-0.079555,0.648103,-5.220232,-1.000000,-0.190840,-0.244275,-3.076329,5.350977,6.655364,-124.0103,-4.7122,85.4478
17056,55.590805,37.672653,169.399993,0.000000,8,1,-0.133763,0.549823,-5.296729,-0.404580,0.030534,0.068702,-3.092020,5.301415,6.837714,-123.5088,-4.7224,85.3789
17156,55.590805,37.672653,169.399993,0.000000,8,1,-0.162675,0.594496,-5.210228,-0.099237,-0.045802,-0.351145,-3.055081,5.126755,6.927054,-122.9791,-4.7629,85.3393
17256,55.590805,37.672653,169.399993,0.000000,8,1,-0.138582,0.640359,-5.243181,-0.618321,-0.175573,-0.496183,-2.975994,5.128165,7.128513,-122.5029,-4.8082,85.3182
17356,55.590805,37.672653,169.399993,0.000000,8,1,-0.156049,0.590326,-5.276133,-0.526718,-0.129771,0.450382,-2.915534,5.086868,7.279368,-122.0129,-4.7757,85.2421
17541,55.590805,37.672653,169.399993,0.000000,8,1,-0.156652,0.562927,-5.263776,-0.641221,-0.267176,-0.068702,-2.875892,5.021905,7.302558,-121.1338,-4.7825,85.1743
17641,55.590805,37.672653,169.399993,0.000000,8,1,-0.070520,0.659420,-5.261423,-0.961832,-0.274809,0.061069,-2.778637,5.008884,7.292003,-120.6901,-4.7742,85.1316
17741,55.590805,37.672653,169.399993,0.000000,8,1,-0.159663,0.588539,-5.242004,-0.603053,-0.122137,-0.274809,-2.806904,5.028141,7.426766,-120.2109,-4.8022,85.0928
17841,55.590805,37.672653,169.399993,0.000000,8,1,-0.147014,0.595091,-5.280841,-0.427481,-0.213740,-0.038168,-2.921328,5.071873,7.488738,-119.7138,-4.8049,85.0499
17941,55.590805,37.672653,169.399993,0.000000,8,1,-0.123524,0.556375,-5.264953,-1.000000,-0.076336,0.183206,-2.905542,5.137347,7.603970,-119.2720,-4.7947,84.9840
18041,55.590805,37.672653,169.399993,0.000000,8,1,-0.084373,0.578414,-5.305555,-0.961832,-0.076336,0.366412,-2.945376,5.134278,7.660710,-118.8256,-4.7679,84.9093
18141,55.590805,37.672653,169.399993,0.000000,8,1,-0.110875,0.530763,-5.297905,-0.412214,-0.061069,0.274809,-2.952319,5.186680,7.755528,-118.3246,-4.7494,84.8379
18241,55.590805,37.672653,169.399993,0.000000,8,1,-0.173517,0.645124,-5.177865,-0.374046,-0.022901,0.030534,-2.792651,5.090147,7.675121,-117.8205,-4.7535,84.7747
18341,55.590805,37.672653,169.399993,0.000000,8,1,-0.118103,0.645720,-5.284371,-1.259542,-0.335878,0.038168,-2.889362,5.301293,7.743005,-117.4072,-4.7420,84.7391
18441,55.590805,37.672653,169.399993,0.000000,8,1,-0.123524,0.515872,-5.283195,-0.259542,0.099237,0.480916,-2.984277,5.291703,7.683542,-116.8891,-4.7106,84.6443
18541,55.590805,37.672653,169.399993,0.000000,8,1,-0.117501,0.671332,-5.277899,-0.458015,-0.190840,-0.183206,-2.849689,5.402703,7.703035,-116.3954,-4.7248,84.6058
18641,55.590805,37.672653,169.399993,0.000000,8,1,-0.140991,0.545058,-5.221997,-0.832061,-0.137405,0.091603,-2.853071,5.364558,7.835256,-115.9378,-4.7163,84.5502
18741,55.590805,37.672653,169.399993,0.000000,8,1,-0.076543,0.649294,-5.310851,-0.671756,-0.068702,0.229008,-2.810160,5.375788,7.834076,-115.4631,-4.6980,84.4825
18841,55.590805,37.672653,169.399993,0.000000,8,1,-0.140991,0.545654,-5.248476,-0.740458,-0.015267,-0.129771,-2.820711,5.351550,7.946137,-114.9962,-4.7139,84.4254
18941,55.590805,37.672653,169.399993,0.000000,8,1,-0.087385,0.645124,-5.258481,-0.763359,-0.068702,-0.114504,-2.816853,5.387484,7.983202,-114.5319,-4.7256,84.3724
19041,55.590805,37.672653,169.399993,0.000000,8,1,-0.067508,0.585561,-5.267307,-0.916030,-0.206107,0.244275,-2.830198,5.426453,8.097244,-114.0826,-4.6986,84.3171
19141,55.590805,37.672653,169.399993,0.000000,8,1,-0.119308,0.573053,-5.307320,-0.541985,0.061069,-0.007634,-2.907260,5.418459,8.121981,-113.5948,-4.7050,84.2477
19241,55.590805,37.672653,169.399993,0.000000,8,1,-0.106057,0.600452,-5.266130,-0.725191,-0.076336,-0.099237,-2.874534,5.432198,8.197494,-113.1267,-4.7138,84.1945
19341,55.590805,37.672653,169.399993,0.000000,8,1,-0.103045,0.570670,-5.236120,-0.687023,-0.160305,0.335878,-2.915021,5.415863,8.262259,-112.6540,-4.6788,84.1321
19441,55.590805,37.672672,170.800003,0.000000,8,1,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan
19548,55.590805,37.672672,170.800003,0.000000,8,1,-0.089192,0.549228,-5.236120,-0.725191,-0.175573,-0.145038,-2.952531,5.523733,8.513895,-112.1541,-4.6877,84.0868
19648,55.590805,37.672672,170.800003,0.000000,8,1,-0.076543,0.606408,-5.229058,-0.679389,-0.351145,0.213740,-2.966272,5.511755,8.543239,-111.6825,-4.6558,84.0473
19748,55.590805,37.672672,170.800003,0.000000,8,1,-0.098226,0.638572,-5.234354,-0.648855,-0.213740,-0.274809,-2.959375,5.548962,8.635722,-111.2083,-4.6741,84.0131
