time_ms,lat,lon,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg
144956,55.590145,37.672615,-1.671153,-0.337582,9.549274,-0.213740,-0.244275,-0.122137,-7.387660,-6.950510,65.485702
145221,55.590145,37.672615,-1.442507,-1.508347,8.842985,0.045802,-0.045802,-0.427481,-10.002577,-6.068073,76.039398
145321,55.590145,37.672615,-0.494403,-0.270545,6.666655,0.015267,-0.076336,-0.458015,-9.601627,-5.245583,80.121116
145421,55.590145,37.672615,0.718261,-0.074220,6.704962,0.061069,-0.198473,-0.290076,-9.179000,-2.609681,83.234550
145521,55.590145,37.672615,-0.305261,0.318429,10.030508,0.137405,0.061069,-0.015267,-7.562802,-1.506313,84.355812
145622,55.590145,37.672615,0.390255,0.688333,10.493786,-0.030534,-0.183206,0.396947,-6.030174,-1.354481,83.001480
145722,55.590145,37.672615,-0.744597,1.051055,11.131841,-0.045802,0.290076,0.335878,-4.961300,-3.003181,79.428283
145822,55.590145,37.672615,-2.024297,1.410185,8.469489,-0.152672,0.122137,0.213740,-4.400356,-5.984155,76.530181
145922,55.590145,37.672615,-0.683545,-0.138864,6.428431,-0.290076,-0.274809,0.152672,-6.098477,-5.100214,74.690109
146022,55.590145,37.672615,-0.774524,0.089783,8.244434,-0.137405,-0.106870,-0.076336,-7.519048,-3.464730,73.876014
146122,55.590145,37.672615,-1.273715,-0.413000,10.875661,-0.122137,-0.091603,-0.396947,-8.089735,-2.751684,76.293861
146222,55.590145,37.672615,-1.983596,-1.233014,11.723209,0.106870,0.274809,-0.549618,-7.663078,-4.386650,80.600242
146322,55.590145,37.672615,-0.657208,-1.270124,8.846576,0.015267,-0.061069,-0.427481,-7.675025,-3.939128,84.803268
146422,55.590145,37.672615,0.149638,-0.456095,6.169858,0.000000,-0.061069,-0.381679,-7.556625,-3.217921,88.781898
146522,55.590145,37.672615,0.258574,0.002394,7.682993,-0.030534,-0.183206,-0.137405,-7.352953,-1.529825,90.958763
146622,55.590145,37.672615,-0.670376,0.547075,10.679337,-0.091603,-0.030534,0.106870,-7.123447,-0.407058,90.551551
146722,55.590145,37.672615,-1.337162,0.411803,12.873623,-0.061069,0.274809,0.412214,-7.347932,-1.187711,87.773475
146822,55.590145,37.672615,-1.405396,0.893037,10.091561,-0.122137,0.213740,0.351145,-6.858038,-4.741270,84.861854
146922,55.590145,37.672615,-0.551863,-0.086191,6.470330,-0.030534,0.000000,0.244275,-6.928661,-6.508070,82.831535
147022,55.590145,37.672615,-0.666785,-0.383072,7.581240,-0.213740,-0.122137,-0.030534,-7.905924,-5.912440,81.890975
147163,55.590164,37.672534,-2.002750,-0.442927,10.913969,-0.106870,-0.076336,-0.381679,-9.677914,-3.856575,83.476791
147263,55.590164,37.672534,-2.539051,-0.979228,12.240357,0.030534,0.259542,-0.580153,-10.217219,-4.205635,87.715759
147363,55.590164,37.672534,-1.830367,-1.227028,8.971075,0.061069,-0.015267,-0.519084,-9.945841,-5.174415,93.193473
147463,55.590164,37.672534,-0.438139,-0.760159,6.509834,0.106870,-0.015267,-0.564885,-9.541705,-4.261744,98.332168
147563,55.590164,37.672534,0.342371,0.225055,7.080852,0.213740,-0.106870,-0.305344,-7.761097,-2.807176,102.530838
