time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,temp_raw
14509,-16016,-310,-1672,-705,-40,-42,-3590
14519,-15966,-378,-1726,-711,-43,-60,-3598
14529,-16024,-400,-1686,-703,-43,-54,-3595
14539,-15964,-406,-1794,-709,-55,-42,-3595
14550,-15992,-336,-1684,-715,-75,-38,-3596
14560,-15974,-354,-1702,-715,-70,-24,-3595
14570,-16004,-302,-1680,-713,-68,-21,-3592
14580,-16056,-302,-1614,-712,-77,-16,-3589
14590,-16036,-270,-1588,-711,-60,-21,-3599
14600,-16020,-262,-1602,-700,-47,-24,-3599
14610,-15994,-298,-1768,-667,-26,-50,-3593
14620,-15992,-388,-1718,-689,-37,-66,-3593
14630,-15984,-346,-1662,-703,-39,-51,-3594
14640,-15996,-382,-1676,-711,-43,-25,-3586
14650,-16038,-336,-1812,-705,-39,0,-3586
14660,-16030,-304,-1642,-704,-74,-14,-3586
14670,-15988,-314,-1566,-700,-68,-48,-3586
14680,-15988,-314,-1566,-700,-68,-48,-3586
14690,-15924,-344,-1596,-682,-87,-84,-3601
14700,-15978,-382,-1662,-718,-41,-56,-3596
14710,-15986,-372,-1682,-726,-41,-20,-3589
14720,-16068,-304,-1820,-731,-20,9,-3589
14730,-16018,-316,-1820,-735,-49,-12,-3592
14740,-16046,-346,-1650,-730,-85,-42,-3590
14750,-16018,-352,-1734,-724,-86,-52,-3588
14760,-16048,-248,-1640,-725,-92,-42,-3594
14770,-15980,-386,-1526,-718,-81,-43,-3592
14780,-15994,-362,-1564,-721,-79,-49,-3595
14790,-15992,-340,-1658,-716,-61,-43,-3595
14800,-16018,-354,-1720,-713,-39,-28,-3592
14810,-16036,-374,-1754,-714,-48,-34,-3592
14820,-16068,-358,-1738,-720,-36,-21,-3595
14830,-16020,-310,-1752,-728,-41,-26,-3589
14840,-15944,-308,-1630,-735,-72,-26,-3599
14850,-15922,-256,-1638,-736,-67,-7,-3599
14860,-15994,-266,-1616,-730,-79,-7,-3591
14870,-16000,-270,-1652,-715,-66,-12,-3589
14880,-16008,-302,-1702,-703,-65,-32,-3594
14891,-16038,-288,-1682,-698,-42,-38,-3592
14901,-16006,-284,-1730,-699,-40,-48,-3594
14911,-16040,-340,-1704,-691,-55,-53,-3586
14921,-16004,-322,-1738,-701,-73,-69,-3590
14931,-15966,-358,-1712,-727,-59,-43,-3589
14941,-16004,-332,-1690,-738,-65,-9,-3591
14951,-16036,-340,-1658,-737,-65,3,-3590
14961,-16010,-346,-1676,-731,-71,-18,-3596
14971,-16008,-242,-1696,-721,-50,-18,-3594
14981,-16026,-220,-1604,-708,-59,-36,-3594
14991,-16020,-260,-1578,-688,-58,-62,-3592
15001,-16010,-316,-1594,-672,-41,-89,-3589
15011,-15918,-250,-1710,-684,-34,-84,-3590
15021,-15976,-286,-1772,-731,-53,-51,-3599
15031,-16026,-424,-1726,-744,-59,-43,-3592
15041,-16034,-380,-1734,-733,-49,-24,-3593
15051,-16002,-342,-1782,-715,-42,-18,-3589
15062,-16000,-300,-1674,-707,-58,-13,-3591
15072,-16002,-346,-1560,-726,-93,-13,-3590
15082,-16024,-318,-1670,-722,-97,-23,-3586
15092,-16002,-336,-1548,-712,-72,-28,-3591
15102,-15984,-322,-1678,-701,-37,-43,-3593
15112,-16004,-286,-1676,-706,-33,-36,-3589
15122,-16032,-364,-1818,-704,-25,-35,-3590
15132,-16002,-436,-1708,-704,-47,-45,-3590
15142,-16028,-376,-1828,-711,-59,-28,-3584
15152,-16034,-316,-1746,-716,-61,-7,-3582
15162,-15994,-366,-1632,-720,-70,4,-3586
15172,-16010,-348,-1640,-713,-64,6,-3589
15182,-16002,-314,-1564,-717,-52,7,-3590
15192,-15998,-282,-1602,-716,-30,15,-3594
15202,-16070,-290,-1728,-726,-40,15,-3593
15212,-16026,-302,-1674,-716,-56,-21,-3588
15222,-16016,-352,-1726,-715,-47,-49,-3592
15232,-16016,-352,-1726,-715,-47,-49,-3592
15242,-16060,-330,-1674,-708,-48,-63,-3589
15252,-15972,-338,-1654,-698,-58,-55,-3586
15262,-15980,-314,-1586,-698,-64,-58,-3588
15272,-15988,-388,-1584,-695,-57,-58,-3587
15282,-16002,-338,-1662,-714,-47,-49,-3588
15292,-16024,-292,-1812,-721,-51,-37,-3589
15302,-16004,-364,-1702,-719,-72,-54,-3591
15312,-15966,-360,-1762,-727,-64,-31,-3595
15322,-16006,-334,-1702,-729,-51,-17,-3590
